"Spp","Long","Lat"
"Caiman latirostris",-40.070909,-19.150698
"Caiman latirostris",-54.401105,-25.641066
"Caiman latirostris",-56.684,-28.094
"Caiman latirostris",-58.651099,-27.442922
"Caiman latirostris",-61.061827,-29.129798
"Caiman latirostris",-57.214154,-28.554602
"Caiman latirostris",-34.945249,-8.016179
"Caiman latirostris",-57.170442,-28.564333
"Caiman latirostris",-60.90473,-28.731181
"Caiman latirostris",-59.986653,-28.04915
"Caiman latirostris",-54.43894,-25.69658
"Caiman latirostris",-53.849998,-25.48
"Caiman latirostris",-42.77,-17.129999
"Caiman latirostris",-42.619999,-19.76
"Caiman latirostris",-48.036622,-21.498159
"Caiman latirostris",-45.570357,-22.96787
"Caiman latirostris",-51.358258,-20.587464
"Caiman latirostris",-58.037521,-28.013998
"Caiman latirostris",-47.522369,-22.413399
"Caiman latirostris",-43.496267,-23.02745
"Caiman latirostris",-40.065052,-19.151384
"Caiman latirostris",-47.522648,-22.412421
"Caiman latirostris",-34.946495,-8.010625
"Caiman latirostris",-56.965955,-29.832869
"Caiman latirostris",-54.446488,-25.685965
"Caiman latirostris",-40.259088,-20.258856
"Caiman latirostris",-47.522826,-22.4136
"Caiman latirostris",-60.674745,-32.83717
"Caiman latirostris",-57.682245,-30.540133
"Caiman latirostris",-60.915653,-28.678717
"Caiman latirostris",-40.324602,-19.401531
"Caiman latirostris",-48.486759,-27.612045
"Caiman latirostris",-57.377421,-30.400247
"Caiman latirostris",-42.742032,-22.442413
"Caiman latirostris",-41.15625,-19.545807
"Caiman latirostris",-43.368072,-22.995945
"Caiman latirostris",-54.44537,-25.667067
"Caiman latirostris",-57.339764,-30.362622
"Caiman latirostris",-48.516368,-27.589049
"Caiman latirostris",-57.05633,-28.570631
"Caiman latirostris",-57.337481,-28.664727
"Caiman latirostris",-42.665163,-19.833635
"Caiman latirostris",-54.578599,-25.597163
"Caiman latirostris",-54.446942,-25.685695
"Caiman latirostris",-60.673389,-31.639364
"Caiman latirostris",-55.965176,-20.09559
"Caiman latirostris",-59.618393,-26.79322
"Caiman latirostris",-46.898451,-22.742483
"Caiman latirostris",-57.173456,-28.536053
"Caiman latirostris",-59.693807,-26.112494
"Caiman latirostris",-58.944172,-26.181389
"Caiman latirostris",-57.616487,-30.228178
"Caiman latirostris",-48.859423,-28.606704
"Caiman latirostris",-50.862056,-30.074447
"Caiman latirostris",-45.002744,-19.224632
"Caiman latirostris",-61.191018,-30.187575
"Caiman latirostris",-35.267978,-6.664765
"Caiman latirostris",-48.509858,-27.754563
"Caiman latirostris",-59.373379,-25.000473
"Caiman latirostris",-50.86343,-30.074369
"Caiman latirostris",-40.49486,-20.281702
"Caiman latirostris",-57.196012,-28.534334
"Caiman latirostris",-60.063231,-29.12081
"Caiman latirostris",-57.141325,-28.655533
"Caiman latirostris",-59.685604,-26.113436
"Caiman latirostris",-53.718338,-29.721452
"Caiman latirostris",-48.516321,-27.589183
"Caiman latirostris",-58.684305,-27.375092
"Caiman latirostris",-54.447093,-25.68087
"Caiman latirostris",-39.846287,-18.393638
"Caiman latirostris",-59.264114,-28.503268
"Caiman latirostris",-60.150081,-29.638161
"Caiman latirostris",-37.099525,-10.922092
"Caiman latirostris",-50.844129,-31.11999
"Caiman latirostris",-54.457783,-25.648295
"Caiman latirostris",-61.667373,-29.365152
"Caiman latirostris",-54.451328,-25.682572
"Caiman latirostris",-48.451923,-21.305327
"Caiman latirostris",-63.811623,-23.349995
"Caiman latirostris",-63.400652,-21.041306
"Caiman latirostris",-54.442745,-25.699811
"Caiman latirostris",-60.83443,-28.613581
"Caiman latirostris",-54.443518,-25.700448
