"Spp","Long","Lat"
"Caiman yacare",-57.194889,-28.546153
"Caiman yacare",-57.195555,-28.546278
"Caiman yacare",-56.699947,-28.082594
"Caiman yacare",-56.687017,-28.093981
"Caiman yacare",-56.699927,-28.083048
"Caiman yacare",-56.7,-28.083
"Caiman yacare",-56.693001,-28.088988
"Caiman yacare",-56.699887,-28.082786
"Caiman yacare",-56.685118,-28.09412
"Caiman yacare",-57.194817,-28.546062
"Caiman yacare",-57.185763,-28.538892
"Caiman yacare",-57.203114,-28.511918
"Caiman yacare",-57.190311,-28.542521
"Caiman yacare",-65.079913,-12.827267
"Caiman yacare",-64.300445,-12.014893
"Caiman yacare",-58.740868,-17.489403
"Caiman yacare",-56.879647,-27.848406
"Caiman yacare",-56.884641,-27.847793
"Caiman yacare",-57.189883,-28.542258
"Caiman yacare",-56.520895,-20.230582
"Caiman yacare",-56.760018,-16.5192
"Caiman yacare",-57.546423,-25.265082
"Caiman yacare",-56.697,-28.066
"Caiman yacare",-56.693,-28.089
"Caiman yacare",-56.878081,-27.873167
"Caiman yacare",-57.206557,-28.538943
"Caiman yacare",-58.02868,-28.006647
"Caiman yacare",-57.670763,-28.426535
"Caiman yacare",-58.169754,-26.219013
"Caiman yacare",-58.037521,-28.013998
"Caiman yacare",-58.167862,-26.224674
"Caiman yacare",-57.363533,-25.507874
"Caiman yacare",-56.848683,-16.785297
"Caiman yacare",-57.363575,-25.507924
"Caiman yacare",-56.613393,-16.381425
"Caiman yacare",-57.363521,-25.507846
"Caiman yacare",-57.363554,-25.508002
"Caiman yacare",-57.363618,-25.507854
"Caiman yacare",-55.701389,-15.673889
"Caiman yacare",-55.799172,-16.275011
"Caiman yacare",-65.385593,-13.742335
"Caiman yacare",-59.113078,-27.944572
"Caiman yacare",-58.977252,-27.951665
"Caiman yacare",-58.97722,-27.951715
"Caiman yacare",-58.977241,-27.951631
"Caiman yacare",-58.977233,-27.951729
"Caiman yacare",-58.977313,-27.95166
"Caiman yacare",-57.022477,-19.602726
"Caiman yacare",-57.982153,-27.975569
"Caiman yacare",-57.20819,-28.553997
"Caiman yacare",-56.95627,-20.406237
"Caiman yacare",-57.43895,-28.255124
"Caiman yacare",-57.183838,-28.533051
"Caiman yacare",-56.62143,-16.378797
"Caiman yacare",-56.671972,-16.41434
"Caiman yacare",-56.975108,-28.050037
"Caiman yacare",-56.858628,-29.474451
"Caiman yacare",-56.906261,-27.857138
"Caiman yacare",-56.849534,-16.788389
"Caiman yacare",-56.875332,-16.756675
"Caiman yacare",-56.697575,-16.479465
"Caiman yacare",-56.875963,-16.756181
"Caiman yacare",-58.04781,-22.149286
"Caiman yacare",-56.876769,-16.753963
"Caiman yacare",-56.272,-19.9421
"Caiman yacare",-56.3043,-19.9543
"Caiman yacare",-59.258882,-28.505972
"Caiman yacare",-56.670031,-16.406976
"Caiman yacare",-57.195817,-28.544148
"Caiman yacare",-57.066077,-28.608849
"Caiman yacare",-57.59531,-25.244508
"Caiman yacare",-57.186489,-28.538521
"Caiman yacare",-57.211005,-28.548071
"Caiman yacare",-63.328165,-17.352996
"Caiman yacare",-57.184047,-28.539054
"Caiman yacare",-57.075481,-19.441444
"Caiman yacare",-57.186788,-28.538326
"Caiman yacare",-63.207634,-17.80177
"Caiman yacare",-57.180191,-28.588856
"Caiman yacare",-56.708167,-16.590384
"Caiman yacare",-57.040307,-19.533112
"Caiman yacare",-56.734809,-16.619641
"Caiman yacare",-56.714827,-16.593679
"Caiman yacare",-56.735608,-17.322225
"Caiman yacare",-57.194885,-28.598491
"Caiman yacare",-66.100419,-11.025786
"Caiman yacare",-66.099685,-11.027992
"Caiman yacare",-57.185908,-28.537617
"Caiman yacare",-57.200819,-28.536747
"Caiman yacare",-57.171546,-28.523383
"Caiman yacare",-56.595475,-17.204405
"Caiman yacare",-57.178241,-28.528662
"Caiman yacare",-57.173606,-28.528134
"Caiman yacare",-57.186584,-28.537783
"Caiman yacare",-56.26685,-16.68942
"Caiman yacare",-57.147352,-28.493172
"Caiman yacare",-57.140786,-28.526984
"Caiman yacare",-56.893552,-27.851744
"Caiman yacare",-57.875303,-25.071087
"Caiman yacare",-56.872021,-16.756259
"Caiman yacare",-58.130802,-25.171102
"Caiman yacare",-57.180501,-28.558073
"Caiman yacare",-57.032336,-19.53897
"Caiman yacare",-57.140657,-28.526833
"Caiman yacare",-57.140592,-28.526814
"Caiman yacare",-57.198135,-28.500906
"Caiman yacare",-56.895875,-17.266288
"Caiman yacare",-56.681167,-17.276912
"Caiman yacare",-56.935781,-17.56905
"Caiman yacare",-57.197906,-28.542885
"Caiman yacare",-57.176889,-28.535443
"Caiman yacare",-57.17067,-28.57478
"Caiman yacare",-57.194531,-28.494117
"Caiman yacare",-57.038196,-19.56166
"Caiman yacare",-57.170841,-28.570342
"Caiman yacare",-57.195757,-28.545271
"Caiman yacare",-55.86298,-16.344767
"Caiman yacare",-56.913937,-27.865992
"Caiman yacare",-57.222261,-28.547073
"Caiman yacare",-65.064075,-14.009576
"Caiman yacare",-55.961514,-20.084019
"Caiman yacare",-56.626792,-16.419483
"Caiman yacare",-57.189381,-28.490195
"Caiman yacare",-56.375563,-16.51411
"Caiman yacare",-57.163328,-28.560405
"Caiman yacare",-65.405761,-13.242088
"Caiman yacare",-58.009379,-28.011261
"Caiman yacare",-56.807881,-16.811788
"Caiman yacare",-56.635736,-20.0375
"Caiman yacare",-57.127593,-28.632028
"Caiman yacare",-57.171628,-28.569527
"Caiman yacare",-56.878152,-27.868596
"Caiman yacare",-56.686834,-28.093325
"Caiman yacare",-56.685504,-28.094347
"Caiman yacare",-57.432597,-17.655786
"Caiman yacare",-65.320102,-13.300295
"Caiman yacare",-57.987401,-29.217549
"Caiman yacare",-58.951676,-27.435852
"Caiman yacare",-56.670574,-17.337202
"Caiman yacare",-57.183488,-28.532201
"Caiman yacare",-59.249357,-28.498951
"Caiman yacare",-57.183391,-28.532276
"Caiman yacare",-57.433713,-28.12678
"Caiman yacare",-56.446981,-21.380265
"Caiman yacare",-56.623447,-16.377737
"Caiman yacare",-58.703081,-27.071933
"Caiman yacare",-57.372255,-28.326009
"Caiman yacare",-58.972052,-27.45318
"Caiman yacare",-57.19536,-28.545786
"Caiman yacare",-56.60482,-20.093997
"Caiman yacare",-56.670025,-16.426742
"Caiman yacare",-57.434643,-28.128196
"Caiman yacare",-56.685059,-21.089875
"Caiman yacare",-57.198496,-28.547494
"Caiman yacare",-58.972104,-27.453396
"Caiman yacare",-57.354395,-19.861004
"Caiman yacare",-59.183958,-28.511204
"Caiman yacare",-56.857495,-16.748271
"Caiman yacare",-59.145855,-28.517645
"Caiman yacare",-57.494733,-18.023884
"Caiman yacare",-56.906435,-17.260099
"Caiman yacare",-59.226307,-28.505795
"Caiman yacare",-59.226358,-28.505755
"Caiman yacare",-57.819275,-28.428543
"Caiman yacare",-57.075787,-19.447458
"Caiman yacare",-59.145852,-28.517638
"Caiman yacare",-59.226288,-28.505805
"Caiman yacare",-56.73997,-16.611353
"Caiman yacare",-57.434646,-28.128188
"Caiman yacare",-57.205086,-27.699059
"Caiman yacare",-57.205043,-27.699249
"Caiman yacare",-59.145855,-28.517643
"Caiman yacare",-59.145847,-28.517637
"Caiman yacare",-58.140986,-25.072246
"Caiman yacare",-57.569633,-25.251858
"Caiman yacare",-57.569637,-25.251778
"Caiman yacare",-55.863145,-16.345322
"Caiman yacare",-56.620175,-16.377767
"Caiman yacare",-57.167612,-28.520361
"Caiman yacare",-55.96487,-20.095665
"Caiman yacare",-58.972108,-27.453184
